experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,100,6,persistent_cc_dca,GREEN,59,1,31,17.0,-2.499999999213844,5.607697453854519e-05,0.007238109000127,1,7.861591377888999e-10,6.661338147750939e-16,5.055586983864428e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,100,7,plain_dca,FIRST_ORDER,40,0,0,,-1.5,7.161347336387337e-11,0.001179854999918,0,0.9999999999999971,0.0,2.9166313679594992e-15,3.3306690738754712e-15,1.77635683940025e-15
E1,100,7,post_dca,GREEN_POST,68,1,54,40.0,-2.5000000000000018,9.013222441664163e-11,0.038522233000094004,1,-4.440892098500626e-15,0.0,2.9166313679594992e-15,3.3306690738754712e-15,1.77635683940025e-15
E1,100,7,cold_cc_dca,GREEN,63,1,34,17.0,-2.499999999285681,5.3453549807258347e-05,0.007299461000002,1,7.143161617761962e-10,0.0,2.9166313679594992e-15,3.3306690738754712e-15,1.77635683940025e-15
E1,100,7,persistent_cc_dca,GREEN,63,1,31,17.0,-2.499999999285681,5.3453549807258347e-05,0.007267443000046001,1,7.143161617761962e-10,0.0,2.9166313679594992e-15,3.3306690738754712e-15,1.77635683940025e-15
E1,100,8,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.161095671319993e-11,0.0016581740001120001,0,1.000000000000001,2.220446049250313e-16,2.3832292042540425e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,100,8,post_dca,GREEN_POST,68,1,54,40.0,-2.5,9.013317375506019e-11,0.014335446000131001,1,8.881784197001252e-16,2.220446049250313e-16,2.3832292042540425e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,100,8,cold_cc_dca,GREEN,83,1,37,17.0,-2.4999999991012283,5.9959050751143705e-05,0.008215288999963,1,8.987726118903083e-10,2.220446049250313e-16,2.3832292042540425e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,100,8,persistent_cc_dca,GREEN,83,1,31,17.0,-2.4999999991012283,5.9959050751143705e-05,0.007442745999924001,1,8.987726118903083e-10,2.220446049250313e-16,2.3832292042540425e-15,1.1102230246251561e-15,-1.77635683940025e-15
E1,100,9,plain_dca,FIRST_ORDER,40,0,0,,-1.4999999999999991,7.161083329732853e-11,0.0011933349999250001,0,1.000000000000003,6.661338147750939e-16,4.535715864392091e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,100,9,post_dca,GREEN_POST,68,1,54,40.0,-2.5,9.01330986773234e-11,0.015182860999857,1,3.108624468950438e-15,6.661338147750939e-16,4.535715864392091e-15,3.3306690738754696e-15,-8.881784197001252e-16
